,HAPPY,YEAR,AGE,WORKLIFE,MEDITATE,PERHRH,TWITTER,INSTAGRM,SATJOB1,NUMPETS,DOG,CAT,HLPNEEDY,VISZOO,VISTHOLY
330,2,1972,64,,,,,,,,,,,,
331,1,1972,20,,,,,,,,,,,,
332,1,1972,60,,,,,,,,,,,,
333,2,1972,33,,,,,,,,,,,,
334,2,1972,70,,,,,,,,,,,,
335,1,1972,60,,,,,,,,,,,,
336,1,1972,26,,,,,,,,,,,,
337,3,1972,74,,,,,,,,,,,,
338,1,1972,33,,,,,,,,,,,,
339,2,1972,23,,,,,,,,,,,,
340,2,1972,19,,,,,,,,,,,,
341,3,1972,59,,,,,,,,,,,,
342,2,1972,70,,,,,,,,,,,,
343,2,1972,52,,,,,,,,,,,,
344,3,1972,,,,,,,,,,,,,
345,1,1972,75,,,,,,,,,,,,
346,1,1972,49,,,,,,,,,,,,
347,2,1972,49,,,,,,,,,,,,
348,2,1972,46,,,,,,,,,,,,
349,2,1972,45,,,,,,,,,,,,
350,2,1972,28,,,,,,,,,,,,
351,3,1972,23,,,,,,,,,,,,
352,2,1972,64,,,,,,,,,,,,
353,2,1972,33,,,,,,,,,,,,
354,1,1972,69,,,,,,,,,,,,
355,2,1972,72,,,,,,,,,,,,
356,2,1972,59,,,,,,,,,,,,
357,1,1972,69,,,,,,,,,,,,
358,2,1972,58,,,,,,,,,,,,
359,2,1972,53,,,,,,,,,,,,
360,1,1972,62,,,,,,,,,,,,
361,2,1972,58,,,,,,,,,,,,
362,2,1972,32,,,,,,,,,,,,
363,2,1972,58,,,,,,,,,,,,
364,2,1972,70,,,,,,,,,,,,
365,2,1972,69,,,,,,,,,,,,
366,2,1972,36,,,,,,,,,,,,
367,2,1972,47,,,,,,,,,,,,
368,2,1972,31,,,,,,,,,,,,
369,2,1972,81,,,,,,,,,,,,
370,2,1972,24,,,,,,,,,,,,
371,2,1972,51,,,,,,,,,,,,
372,3,1972,69,,,,,,,,,,,,
373,1,1972,30,,,,,,,,,,,,
374,2,1972,69,,,,,,,,,,,,
375,3,1972,45,,,,,,,,,,,,
376,2,1972,24,,,,,,,,,,,,
377,1,1972,66,,,,,,,,,,,,
378,3,1972,29,,,,,,,,,,,,
379,3,1972,57,,,,,,,,,,,,
380,1,1972,58,,,,,,,,,,,,
381,2,1972,77,,,,,,,,,,,,
382,1,1972,30,,,,,,,,,,,,
